Size,Method,ExecutionTime(ms)
10,serial,0.038000
10,parallel,0.116000
20,serial,0.583000
20,parallel,0.248000
30,serial,2.856000
30,parallel,0.877000
10,serial,0.037000
10,parallel,0.142000
20,serial,0.571000
20,parallel,0.320000
30,serial,2.814000
30,parallel,0.972000
10,serial,0.037000
10,parallel,0.109000
20,serial,0.560000
20,parallel,0.315000
30,serial,2.784000
30,parallel,0.890000
10,serial,0.037000
10,parallel,0.108000
20,serial,0.562000
20,parallel,0.326000
30,serial,2.890000
30,parallel,0.770000
10,serial,0.033000
10,parallel,0.101000
20,serial,0.533000
20,parallel,0.255000
30,serial,2.636000
30,parallel,0.704000
10,serial,0.033000
10,parallel,0.103000
20,serial,0.521000
20,parallel,0.243000
30,serial,2.705000
30,parallel,1.014000
10,serial,0.037000
10,parallel,0.092000
20,serial,0.592000
20,parallel,0.241000
30,serial,2.744000
30,parallel,0.726000
10,serial,0.034000
10,parallel,0.104000
20,serial,0.519000
20,parallel,0.251000
30,serial,2.643000
30,parallel,0.692000
10,serial,0.034000
10,parallel,0.103000
20,serial,0.559000
20,parallel,0.245000
30,serial,2.902000
30,parallel,0.718000
10,serial,0.034000
10,parallel,0.107000
20,serial,0.527000
20,parallel,0.244000
30,serial,2.674000
30,parallel,0.738000
10,serial,0.034000
10,parallel,0.105000
20,serial,0.515000
20,parallel,0.247000
30,serial,2.623000
30,parallel,0.745000
10,serial,0.048000
10,parallel,0.085000
20,serial,0.560000
20,parallel,0.277000
30,serial,2.786000
30,parallel,0.744000
10,serial,0.044000
10,parallel,0.108000
20,serial,0.531000
20,parallel,0.229000
30,serial,2.682000
30,parallel,0.734000
10,serial,0.034000
10,parallel,0.096000
20,serial,0.522000
20,parallel,0.234000
30,serial,2.859000
30,parallel,1.014000
10,serial,0.042000
10,parallel,0.112000
20,serial,0.584000
20,parallel,0.349000
30,serial,2.910000
30,parallel,0.845000
10,serial,0.036000
10,parallel,0.102000
20,serial,0.561000
20,parallel,0.219000
30,serial,2.642000
30,parallel,0.816000
10,serial,0.034000
10,parallel,0.095000
20,serial,0.529000
20,parallel,0.246000
30,serial,2.893000
30,parallel,0.759000
10,serial,0.037000
10,parallel,0.080000
20,serial,0.550000
20,parallel,0.253000
30,serial,2.641000
